subQ,,,,,,,
how would you characterize this persons alcohol problem?,"so i ask you, general public, would you call my husbands drinking problems ""alcoholism"", or what would you call it?",,,,,,
mentally addicted to alcohol but not phsyically addicted?,,,,,,,
support for mothers who have had their child removed from their care due to alcohol addiction?,i just wondered if anyone could relate to the shame and guilt one feels for doing so and then having to accept responsibility for the consequences. ,,,,,,
how can i help my alcoholic uncle?,,,,,,,
how do i accept others drinking when my mother is an alcoholic?,what can i do to be more comfortable with him drinking and realize that not everyone who drinks alcohol is going to cause me the pain my mother did? ,,,,,,
could i develop alcoholism?,,,,,,,
how long does it take your body to recover from alcohol abuse?,,,,,,,
"does pot make people more stupid than alcohol, or is the effects about the same?",what drunk have you ever seen act intelligent?,why do people get addicted to this doing these things?,is it like a competition with friends to see who can act dumber?,"why do some stoners claim it doesnt make them dumber, isnt that just dumb?",why would someone want to do drugs to escape reality?,,
there is this weird pain in my testicles which i feel when i drink alcohol. any tips?,any suggestions what can cause this and what are the short/long term effects?,,,,,,
how many drinks do you have on occasions where you drink alcohol?,,,,,,,
have you ever drank alcohol before?,,,,,,,
why muslims drink alcohol?,,,,,,,
"why do most people think that to have a good time, you must drink alcohol?",,,,,,,
does alcoholism affect your brain?,,,,,,,
how long does it take to get alcohol out of urine for a urine analysis?,,,,,,,
is the number of people addicted to alcohol larger than the number of people that use drugs?,,,,,,,
how can i motivate my mother to overcome her bitterness about her fathers alcoholism?,,,,,,,
what parts of the brain are affected by alcoholism and what part causes the addiction?,,,,,,,
"do you consider alcohol good always, bad always, or just good when done in moderation?",,,,,,,
do alcoholics ever stop being alcoholics even if they are around alcohol all the time?,,,,,,,
what are some of the common causes of alcohol addiction (alcoholism)?,,,,,,,
is ethyl alcohol can be a solvent for cyanide?,,,,,,,
would guys over the age of 21 buy me alcohol when im 18 years of age?,do guys do that for girls thats of legal age for them?,would a guy over 21 buy me alcohol if i asked him to? ,,,,,
"if i searched your refrigerator for an alcohol beverage, would i find anything?",,,,,,,
does having alcohol flush (asian flush) guarantee my kid will have it?,what are the odds they will have it if i have it? ,,,,,,
is it prohibited for a muslim to have a medication that required alcohol to dilute its contents in?,why would then be alcohol prohibited that way? ,,,,,,
science project help effects of alcohol on the brain!?,,,,,,,
is it normal to not feel the effects of alcohol is a much on a second night of drinking alcohol?,is it normal to find it harder to get drunk the second day?,,,,,,
does this seen like an alcohol problem?,,,,,,,
will i get drug tested for probation for an underage alcohol if its not listed under my probation conditions?,,,,,,,
in the olden times (pre 1980) did people really use to put alcohol in their babies bottles to stop crying?,,,,,,,
do you think im allergic to alcohol or have alcohol intolerance?,,,,,,,
does neutrogena alcohol free toner work?,,,,,,,
how many alcohol groups(-oh groups) are there in c16 h30 o7 compound  kindly tell the method also?,,,,,,,
any addict or alcoholic that can talk?,,,,,,,
i read that 100% alcohol can clean & remove water from handheld electronics.?,does any know what to use since 100% alcohol is nearly impossible to find?,,,,,,
dayquil after alcohol?,,,,,,,
drinking too much alcohol tolerance?,has anyone ever drank too much and just felt sober afterwards its something that happens to me every time i drink.,,,,,,
what is your favorite type of alcohol?,,,,,,,
"arabs, biggest alcohol consumers!?",,,,,,,
"how long after getting drunk, will the alcohol leave my system?",,,,,,,
is this alcohol poisoning or virus?,,,,,,,
is alcohol denat. in hand sanitizer halal to use?,,,,,,,
is it legal to exchange alcohol for alcohol homebrewers?,dont think itd be that big of a deal but i really wouldnt want to get slammed for it either. ,,,,,,
alcohol consumption leading to miscarriage?,,,,,,,
is it possible to get completely drunk saturday night and be clean of alcohol by monday morning?,,,,,,,
strange reaction to pot and alcohol?,,,,,,,
what happens to me when i drink alcohol?,is there like some kind of mental barrier when i am sober? ,,,,,,
"did dennis rodman mean the things he said about north korea, since hes going to rehab for alcohol use?",,,,,,,
does smoking pot affect erectile dysfunction how much alcohol can you get away with?,will having a few light beers over a few hours be enough to create a problem?,,,,,,
which is a stronger depressant pentobarbital or alcohol?,,,,,,,
how much do i have to wait after taking xanax to take another drug or drink alcohol..?,,,,,,,
pres. obama has proclaimed that smoking weed is no more harmful than alcohol. should he legalize it?,"conservatives continually discriminate against president obamas wisdom, but will the non-racist sector of america bond together with president obama to legalize pot, cocaine and meth?",,,,,,
i think i may becoming dependant on alcohol?,,,,,,,
muscle/shoulder pain when drinking alcohol?,,,,,,,
"what would happen if we outlawed tobacco, alcohol, and kept pot illegal to help people live healthy?",,,,,,,
are there any known chemical interactions between isopropyl alcohol/grain alcohol and polyester?,,,,,,,
president obama agrees that weed is less dangerous than alcohol so are republicans saying the opposite now?,so now that hes agreed that weed is less dangerous than alcohol are they disagreeing on this too?,,,,,,
how to reset your alcohol tolerance?,what is the best way to reset your alcahol tolerance for a 2 night a week drinker?,,,,,,
how much time does it take for the body to detox from all the alcohol...?,,,,,,,
is there any aspect that alcohol is actually good for health...?,is there any aspect that alcohol is actually good for health.,,,,,,
why do so many child stars end up abusing drugs and/or alcohol at some point in their life?,,,,,,,
which is a greater sin the consumption of pork or the consumption of alcohol?,,,,,,,
"someone i know drank alcohol under age, what do i do?",,,,,,,
why do people use drugs / alcohol .?,,,,,,,
should alcohol be outlawed ?,so why does the government still allow it ? ,,,,,,
does drinking alcohol increase this?,,,,,,,
dangers of mixing klonopin with alcohol?,"had hallucinations, awkward walking, and very jarbled speech,hardly understandable, and passed out.",do you think he had a stroke?,,,,,
rubbing alcohol on a cut in mouth?,was thinking about rubbing some alcohol on the cut to help it and hope it will numb it possibly?,,,,,,
how do i avoid walmart refusing to sell me alcohol?,do i have any right to file complaints if they refuse service again?,,,,,,
why can alcohol be sold advertised as alcohol free when it is actually low alcohol.?,,,,,,,
why is marijuana illegal while cigarettes and alcohol are(except colorado and washington)?,,,,,,,
"if obama says that pot is no more dangerous than alcohol, what about the movie reefer madness?",,,,,,,
why does not alcohol react with neutral ferric chloride but phenol does?,,,,,,,
ethyl alcohol is denatured by adding small amount of.......?,,,,,,,
does nicotine cause intoxication similar to alcohol intoxication?,,,,,,,
alcoholics drinking till they are sick?,,,,,,,
where to get help if family member abuses alcohol?,how can i help my father with his severe alcohol addiction given that he refuses to accept professional help or even admit that he has a problem? ,,,,,,
"whenever i drink my heart starts racing,is that normal?",,,,,,,
obama said that marijuana is no more dangerous than alcohol?,"apart from the error that marijuana is vastly less dangerous than alcohol, how are conservatives going to respond to his words?",,,,,,
why must sodium dichromate first be acidified with an acid before it can oxidize an alcohol?,,,,,,,
im on day 4 of the dr. h. clark parasite cleanse. is it ok to drink alcohol during the cleanse?,is it ok to drink alcohol during the cleanse? ,,,,,,
identify the organic product formed by the oxidation of this alcohol using acidified potassium dichromate (vi)?,,,,,,,
how to hide alcohol on a school trip?,,,,,,,
do cons think marijuana is more dangerous than alcohol or?,have they been conditioned to disagree with anything president obama says? ,,,,,,
alcohol and rehab help!?,can we (his immediate) family take him to rehab even if he doesnt agree to go to rehab?,,,,,,
"found a bag with two syringes full of grey liquid, and alcohol wipe packets. no needles, whats the liquid?",,,,,,,
if you are a mother whos seeking help for alcoholism should you fear cps?,"heres my fear, if i go to my family doctor about my alcoholism would they as professionals have to notify any agencies?",,,,,,
how would you describe what happens to rubbing alcohol as it dries to elementary students?,,,,,,,
what does it mean when the alcohol bottle says it has 15% or whatever alcohol in it?,does it mean it has that much alcohol the whole bottle can anyone plz explain to me,,,,,,
"being the child of an alcoholic father, when i am 21, could i abuse wine?","but say that when i am considered an adult (in my 20s) and i only drink wine, could i be at a higher risk?",,,,,,
how long for alcohol to go?,,,,,,,
isnt it ironic that alcohol feels so good but is so bad for you?,,,,,,,
alcohol and tonsillectomy?,do you think i will not be permitted to have the surgery because of the drink i had?,is it possible that it could cause a negative effect?,,,,,
what do you think of alcohol related violence do you have any great ideas to stop children from drinking ?,do we really have a responsible attitude to alcohol?,why do teenage children still sneak alcohol and binge drink with their friends?,,what do you think will help? ,,,
how is vat calculated in mumbai..especially for shirts and pants and alcohol..?,,,,,,,
xanaz alcohol and weed will i be ok im nervous.?,,,,,,,
"why do atheists think that money, sex and alcohol equals happiness?",,,,,,,
why does alcohol affect everyone differently?,,,,,,,
taking metronidazol... used an alcohol product... help!!!?,,,,,,,
ramadan-which is worse drinking alcohol or having sex before marriage?,,,,,,,
can taking 30 sleeping pills with alcohol kill you ?,,,,,,,
"obama says pot is not more harmful than alcohol, how did he arrive at this conclusion?",,,,,,,
what will happen if i mix grinded paracetamol and alcohol together?,,,,,,,
"when a gp looks at the blood test of a patient with a alcohol problem, how do they know if the liver is scarr?",,,,,,,
"do you like caffeine, alcohol, or sleep aids?",,,,,,,
if alcohol kills u then why are there competitions for how much can u drink?,,,,,,,
what alcohol and how much to bring on spring break pcb?,what kind of alcohol and how much should i bring for spring break between 3 girls.,,,,,,
why cant tertiary alcohols be oxidised by acidified dichromate ions?,,,,,,,
how long does it take alcohol to leave urine?,will all the alcohol be gone?,,,,,,
if you drink 2 50ml of 99apples what alcohol percentage is that?,,,,,,,
if a cop buys someone underage alcohol?,"if he buys alcohol for minors in an attempt to catch them in the act of underage drinking, will he still get in trouble for buying it, or will they let him go for being a plant in a way? ",,,,,,
what pieces of id can i use to buy alcohol in bc?,"can i use a old student card for the photo id and then my care card that has my birthday on it to go out to clubs, bars and buy alcohol?",,,,,,
